scene_id	onset	block_distance	depth	is_peak	w	tau_depth	min_spacing
18	172.21	0.6722206473350525		False	1	0.5	30.0
18	174.67	0.9833004474639893	0.31107980012893677	False	1	0.5	30.0
19	193.23	0.2906978726387024		False	1	0.5	30.0
19	198.99	0.7412830591201782		False	1	0.5	30.0
19	200.04	0.9961381554603577	1.019117295742035	True	1	0.5	30.0
19	201.96	0.682461142539978		False	1	0.5	30.0
19	207.8	0.8058496713638306		False	1	0.5	30.0
19	209.8	0.8203905820846558	0.4072922468185425	False	1	0.5	30.0
19	214.68	0.7313899397850037		False	1	0.5	30.0
19	219.56	0.551027774810791		False	1	0.5	30.0
20	228.0	0.8721354603767395		False	1	0.5	30.0
20	228.36	0.8832155466079712	0.8942956328392029	True	1	0.5	30.0
20	231.2	0.8213702440261841		False	1	0.5	30.0
20	231.96	0.8213702440261841	0.8213702440261841	False	1	0.5	30.0
20	235.44	0.0		False	1	0.5	30.0
20	235.96	0.80638587474823	0.80638587474823	False	1	0.5	30.0
21	242.68	0.7604219317436218	0.7604219317436218	False	1	0.5	30.0
21	243.92	0.0		False	1	0.5	30.0
21	244.24	0.7698502540588379	1.3640748858451843	False	1	0.5	30.0
21	245.2	0.17562562227249146		False	1	0.5	30.0
21	246.68	0.8557904958724976		False	1	0.5	30.0
21	250.76	0.8675259947776794	1.3892984986305237	True	1	0.5	30.0
21	252.84	0.17012786865234375		False	1	0.5	30.0
21	254.72	0.4939790964126587		False	1	0.5	30.0
21	255.84	0.6734836101531982		False	1	0.5	30.0
21	263.12	0.8032903671264648	1.1668457984924316	False	1	0.5	30.0
21	265.24	0.2696070671081543		False	1	0.5	30.0
21	265.84	0.8932555913925171	1.247414767742157	False	1	0.5	30.0
21	270.72	0.8930471539497375		False	1	0.5	30.0
21	272.32	0.7596396803855896		False	1	0.5	30.0
21	275.44	0.7596396803855896	0.4901503324508667	False	1	0.5	30.0
21	277.44	0.2694893479347229		False	1	0.5	30.0
21	285.36	0.8927230834960938	0.6232337355613708	True	1	0.5	30.0
22	287.98	0.6978101134300232	0.12309128046035767	False	1	0.5	30.0
22	293.58	0.5747188329696655		False	1	0.5	30.0
22	297.18	0.8569521307945251		False	1	0.5	30.0
22	301.26	0.9361323118209839	1.1896523833274841	True	1	0.5	30.0
22	302.94	0.10789340734481812		False	1	0.5	30.0
22	306.86	0.30490726232528687	0.19701385498046875	False	1	0.5	30.0
23	311.26	0.1514490246772766		False	1	0.5	30.0
23	314.07	0.7926307916641235	0.9561153054237366	True	1	0.5	30.0
23	320.79	0.4776972532272339		False	1	0.5	30.0
23	325.19	0.8076450824737549	0.6900152564048767	False	1	0.5	30.0
23	330.07	0.44757765531539917		False	1	0.5	30.0
23	334.39	0.7967918515205383	0.34921419620513916	False	1	0.5	30.0
25	361.22	0.6396194100379944		False	1	0.5	30.0
25	362.18	0.7124322056770325	0.3133481740951538	False	1	0.5	30.0
25	366.1	0.47189682722091675		False	1	0.5	30.0
25	367.95	0.8574805855751038	0.6251290440559387	False	1	0.5	30.0
25	369.79	0.617935299873352		False	1	0.5	30.0
25	370.75	0.8411757946014404	0.5406728386878967	False	1	0.5	30.0
25	371.43	0.7250460386276245		False	1	0.5	30.0
25	373.07	0.5237434506416321		False	1	0.5	30.0
25	376.63	0.826999306678772	0.48540204763412476	False	1	0.5	30.0
25	377.71	0.6448531150817871		False	1	0.5	30.0
25	381.79	0.7267404794692993	0.6939488649368286	False	1	0.5	30.0
25	384.27	0.11467897891998291		False	1	0.5	30.0
25	386.11	0.6163694262504578		False	1	0.5	30.0
